index,countryoforigin,visits_2002,visits_2003,visits_2004,visits_2005,visits_2006,visits_2007,visits_2008,visits_2009,visits_2010,visits_2011,visits_2012,visits_2013,visits_2014,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,visits_2020p,nights_2002,nights_2003,nights_2004,nights_2005,nights_2006,nights_2007,nights_2008,nights_2009,nights_2010,nights_2011,nights_2012,nights_2013,nights_2014,nights_2015,nights_2016,nights_2017,nights_2018,nights_2019,nights_2020p,spend_2002,spend_2003,spend_2004,spend_2005,spend_2006,spend_2007,spend_2008,spend_2009,spend_2010,spend_2011,spend_2012,spend_2013,spend_2014,spend_2015,spend_2016,spend_2017,spend_2018,spend_2019,spend_2020p,sample_2002,sample_2003,sample_2004,sample_2005,sample_2006,sample_2007,sample_2008,sample_2009,sample_2010,sample_2011,sample_2012,sample_2013,sample_2014,sample_2015,sample_2016,sample_2017,sample_2018,sample_2019,sample_2020p
20,India,135.2,130.4,160.3,166,229.6,219.7,241.6,177.9,235.9,235.3,231.5,243.6,252.3,275.7,273.4,382.4,367.1,444.6,48.7,2140,2063,2566.6,2721.2,3321.5,3918.1,2874.7,2662.4,4021,3579.1,3436.8,3941.5,3508.6,3769.3,4111.6,4863,5397.8,5056.8,889.4,81.2,77.7,106.5,107.1,151.5,157.9,148.8,133,213.4,166.8,176.7,224.5,240.2,203.4,258,282.5,313.8,358.1,51.4,370,343,398,422,535,447,340,441,486,359,387,419,414,401,388,494,426,426,51.4
21,Indonesia,,,,,,,,,,19.2,18.5,17.9,22.1,24.8,32.6,36.4,37.1,39.1,3.6,,,,,,,,,,183.5,117,125.3,126.9,190.1,196.2,300.7,231,250,22.6,,,,,,,,,,18.7,19.2,33.5,22.9,30.6,26.4,34.7,39.6,55.9,3.1,,,,,,,,,,34,26,27,32,32,36,54,41,37,3.1
22,Ireland,628.9,623.6,682.8,726.5,718.4,732.3,736.1,690.4,656.6,620.3,595.9,610.6,620.3,793.2,806.4,826.5,649.5,748.5,197.9,2436.7,2301.1,2702.1,2880.7,2663.9,2549.3,2600.5,2120.9,2434.3,2686.1,2562.9,2378.5,2419.1,2900.2,3049.8,2983.5,2129.5,2410.3,849.7,201.5,173.2,218,250.1,233.2,243.7,244.8,238,256.6,230.2,225.3,228.6,251.3,285.8,371,320.1,213.1,261.9,91.7,494,551,589,683,687,664,693,773,651,573,563,545,511,749,758,550,355,376,91.7
23,Israel,152.7,122.7,127.4,106.9,138.4,102.7,125.7,124.9,122.8,120.5,108.2,141,147.6,164.7,154.4,202.1,231.4,226.3,38.1,911.7,782,859.6,807.9,964.3,581.8,740.1,727.6,779.5,745.2,634.5,762.6,936.4,1000.2,866.3,1327.6,1441,1298.6,164.6,79.5,57.5,54.8,55.8,71.7,71.4,64.3,92.4,72.3,68,70.5,89,88.5,224.6,105.3,181.1,184,205.8,54.7,290,245,229,221,233,177,153,240,226,195,150,198,193,183,169,209,161,169,54.7
24,Italy,541.6,601.4,765.4,643.7,851.2,837.7,981,747.6,932.2,1009.3,962.8,1072.2,1185.7,1165.1,1251.5,1052,989.9,1391.7,175.2,3400.5,3957.1,5234.6,3490.9,5122.6,5028.6,5346.8,4471.7,5392.1,5289,5336.9,5951.9,8484.1,6536.5,6682.2,5696.3,4084.8,7254.2,1725.4,199,292.9,292.8,281.2,380,360,475.8,360.5,437.1,544,453.2,504.4,637.9,535.6,563.1,477.8,420.8,732.5,77.2,565,561,658,600,716,718,792,985,1062,978,936,1025,952,934,937,673,443,385,77.2
25,Japan,294.5,232.5,265,242.9,245.2,220.1,167.8,180.5,168.2,166.4,177.9,155.3,157.5,151.4,180.3,174.8,192.7,310.1,66.8,1983.7,1427.5,1680.5,1840.9,1528.9,1271.8,950.6,1578.1,1051.3,900.9,1821.5,1186,857.5,1027.5,1069.5,1168,1204.5,1585,311,176.1,145.7,145.6,165.5,134.1,134.7,102.3,227.4,117.7,110.8,181.8,135.6,162.7,135.4,142.9,173.8,219.1,277.2,43.9,610,455,514,479,448,372,267,394,388,271,308,260,251,207,224,222,227,250,43.9
26,Kenya,31.6,19.8,22.1,16.5,15.9,12.7,24.6,14.9,18.5,17.8,20.8,22.3,12.5,22.4,24.5,29.3,19.8,19.6,3.7,580.4,431.2,363.5,237.6,266.9,92.7,400.4,229.3,169,210.8,243.8,301.2,194.3,391.2,289.6,400,168.6,251.2,22.5,48.5,21.9,19,13.6,14.1,6.6,28.7,18,21.8,15.8,28.2,17.6,21.3,21.4,20.8,32,14.5,29.2,1,92,55,59,56,43,36,44,42,44,36,43,49,28,42,44,62,35,37,1
27,Kuwait,31.1,36.2,32.5,33.8,43.6,46.7,35.4,49,41.9,52.8,50.5,105.7,84.3,83.4,91.5,98.2,79.7,138.4,26.5,465.5,623.8,658,460.7,602.6,808.3,485.8,734.6,511.7,747.5,707.7,1302.5,1682.8,1219.2,855.4,1231.4,1038,1323.8,176.7,62.3,72.6,51.2,77.5,84.5,158.5,87.5,106.6,75.2,156.2,248,441,405.2,260.2,171.3,327.5,235.9,309.3,42.6,86,88,82,98,98,95,60,124,93,85,94,179,152,123,139,157,124,153,42.6
28,Luxembourg,23.9,16.9,38.4,25.9,28.2,31.7,35,27.9,26.8,40,40.1,51.2,56.1,78.1,61.3,41,54.8,69.9,1,75.4,36.6,146.7,96.4,70.5,94.5,184.8,62.5,88.5,181.5,115.2,160.1,168.3,266.8,162.4,194,308.5,205.6,0.7,8,4.6,14.1,11.3,11.6,10.4,18.2,10.4,8.2,13.9,17.4,27.9,27.5,46,28.3,22.6,36,37,1.2,31,28,41,32,32,32,35,33,24,34,31,40,37,46,44,41,36,37,1.2
29,Malaysia,60.5,46.7,65,52.8,52.7,47,45.6,77.9,89.8,82.5,72,113.4,109.5,126,128.7,123.2,122,135.1,20.2,581.6,373,439.6,410.1,632.6,362.9,443.2,1262.8,581.5,658.5,637.9,1032.5,807.4,899,816,870.6,826.6,775.9,151.5,36.3,35.4,39.5,44.9,44.7,43.3,31.3,95.2,80,63.4,74.2,106.4,96.3,102.2,117.4,104.1,104.7,94.2,22.8,143,133,154,134,118,103,86,154,152,125,123,177,156,157,148,160,151,152,22.8
30,Mexico,53,57.9,52.2,55,69.5,38.1,50.4,60.7,51.9,62.2,69.8,91.4,72.8,82.2,83,126.9,110.2,145.3,24.5,363.6,281.2,2283.9,418.9,562.5,347.5,322.7,428.2,223.9,419.7,363.1,569.6,434.3,439.9,402.4,571.4,484,703.9,114.6,27,22,78.9,27.5,50.3,24.5,29.2,36.6,213.3,38.9,28.6,48.8,47.6,41.8,48.9,73.4,55.8,93.1,24.1,108,98,104,102,118,74,63,81,71,80,88,126,91,105,88,142,83,82,24.1
31,Netherlands,492.4,619.2,578.3,606.7,659.8,665.3,654.1,683.9,621.2,631.2,637.9,686.7,705.2,690.5,805.6,825.6,695.2,711.7,166.2,2299.6,2439.9,1936.4,2029.9,2057.6,1980.8,2111.1,2409.8,2238.5,2412,2440.8,2470.5,2298.4,2341.3,2939.5,2783.5,2072.4,2247.9,468.5,155.6,222.2,177.1,187.7,188,208.6,217.9,252.6,264.2,241.5,252,269.5,300.3,275.6,296.2,293.2,259.9,314,45.3,793,834,825,775,801,765,627,802,725,717,713,758,684,662,689,643,444,458,45.3
32,New Zealand,82.7,100.5,101.9,121.7,124.5,119.7,103.1,108.8,111.3,95.5,104.5,93.7,106.6,118.4,107.7,112.1,118.9,119.3,9,755.2,903.5,822.8,1247.7,1063.5,1086.1,1073.3,977.6,810.5,875.2,893.9,669.7,1088.2,1213.3,898.8,976.1,749.1,746.2,188.7,34.2,38.5,49.5,60.4,70.1,83.3,51.2,74.6,62.7,66.6,69.5,48.8,78.4,90.6,73.8,77.3,104.4,66.5,16.1,246,238,256,322,287,270,193,218,237,170,195,165,161,185,146,128,118,140,16.1
33,Nigeria,93,85.6,120.6,119.8,118.4,125,113.6,116.5,124.6,106.1,109.9,120.7,95.8,89.8,66.3,77.7,79.1,154.5,27.8,1379.2,1371.5,1760.5,2653.9,2198.5,2282.5,1715.4,1464.2,1659.9,1451.6,1402.9,1270.9,1238.2,1740.3,999.6,1115.4,932.9,1857.1,464.7,145.2,108.4,144.5,154.4,170.9,143.5,183.4,151.7,202.3,162,176.1,179.8,166,123.3,114.6,132,111.6,219.1,32,284,266,342,356,295,270,226,278,283,201,226,253,210,162,107,128,114,130,32
34,Norway,178.4,182,218,265.9,302.2,306.6,337.6,324.1,372.1,382.1,396.8,480.1,471.9,434.6,380.4,336.7,357.2,321,62.5,768.8,665.8,817.9,1065.1,1106.1,1164.7,1240.1,1192.1,1304.7,1500.8,1364.7,2009.7,1719.5,1645.8,1429.2,1190.7,1577.7,1140.6,231.2,81.5,77.1,115.8,122.9,144.8,160.6,215.9,191.6,204.3,237.1,235.7,301.7,307.3,241.4,228.2,188.2,229.4,217.8,48.6,404,362,448,436,483,493,470,670,626,562,602,691,622,487,412,257,216,184,48.6
